English,Meaning
you,ты
I,я
to,к
it,Это
and,и
that,тот
is,является
in,в
what,какой
we,мы
me,мне
this,это
he,он
for,для
my,мой
on,на
have,имеют
your,ваш
do,делать
was,был
no,нет
not,нет
be,быть
are,являются
know,знать
can,может
with,с
but,но
all,все
so,так
just,только
there,там
here,здесь
they,Они
like,как
get,получать
she,она
go,идти
if,если
right,верно
out,вне
about,о
up,вверх
at,в
him,его
now,сейчас же
one,один
come,приехать
well,хорошо
her,ее
how,как
yeah,Ага
will,буду
got,есть
want,хотеть
think,считать
as,в виде
see,видеть
did,сделал
good,хороший
who,ВОЗ
why,Зачем
from,из
let,позволять
his,его
yes,да
when,когда
going,идущий
time,время
okay,хорошо
back,назад
look,Смотреть
us,нас
would,было бы
them,их
where,куда
were,мы
take,брать
then,потом
had,имел
or,или
been,был
our,наш
gonna,собираюсь
tell,рассказать
really,В самом деле
man,человек
some,некоторые
say,сказать
hey,Привет
could,мог
by,по
need,нужно
something,что-то
has,имеет
too,слишком
more,более
way,способ
down,вниз
make,делать
very,очень
never,никогда
only,Только
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,Прости
give,дать
off,выключенный
am,являюсь
thank,благодарить
any,любой
two,два
even,даже
much,много
doing,делает
sure,Конечно
thing,предмет
these,эти
help,помощь
first,первый
into,в
anything,что-нибудь
still,еще
find,найти
life,жизнь
nothing,ничего такого
sir,сэр
day,день
god,Бог
work,работай
their,их
again,опять таки
maybe,может быть
must,должен
before,перед
other,Другой
wait,ждать
stop,останавливаться
call,вызов
after,после
won,выиграл
away,далеко
than,чем
thought,мысль
home,дом
night,ночь
put,положил
great,здорово
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,хранить
long,долго
years,годы
leave,покинуть
does,делает
money,Деньги
around,вокруг
name,название
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделали
old,Старый
which,который
big,большой
lot,много
done,сделано
hello,Привет
nice,отлично
believe,полагать
girl,девочка
someone,кто-то
fine,отлично
thanks,Благодарность
wanted,в розыске
kind,Добрый
coming,приходящий
house,дом
every,каждый
ok,хорошо
through,через
being,существование
course,курс
stay,оставаться
left,левый
dad,папа
enough,достаточно
happened,случилось
came,пришел
may,май
mother,мама
wrong,неправильно
world,Мир
bad,плохой
might,мог
three,три
today,сегодня
listen,Слушать
another,Другой
understand,понимать
hear,слышать
remember,воспоминание
ask,просить
own,собственный
same,такой же
show,показать
else,еще
kill,убийство
talking,говорящий
found,найденный
next,следующий
getting,получающий
care,уход
car,машина
looking,смотрящий
son,сын
try,пытаться
woman,женщина
went,пошли
hi,Здравствуй
dead,мертвых
many,многие
mind,разум
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,все вместе
yourself,сами
job,работа
saw,пила
family,семья
real,настоящий
without,без
baby,детка
room,комната
already,уже
move,двигаться
most,самый
seen,видимый
live,жить
miss,скучать
actually,фактически
huh,Хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готовы
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,брат
also,также
pretty,красивая
bit,немного
took,взял
haven,убежище
yet,все же
men,мужчины
whole,весь
start,Начало
use,использовать
while,пока
since,поскольку
wife,жена
days,дней
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня ночью
everyone,каждый
run,запустить
wanna,хочу
hard,жесткий
ah,ах
alone,в одиночестве
myself,себя
school,школа
gone,ушел
um,гм
end,конец
saying,поговорка
phone,Телефон
play,играть
looks,выглядит
couldn,не мог
fucking,чертов
problem,проблема
few,мало
friends,друзья
gotta,должен
ago,тому назад
open,открыто
anyone,любой
killed,убитый
hope,надеяться
face,лицо
until,до тех пор
lost,потерянный
